Formula,InChI
C4H8+,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3/q+1"
C5H7,
C5H7+,
C6H6,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H
C7H5,
C7H5+,"InChI=1S/C7H5/c1-3-5-7-6-4-2/h1H2,2H3/q+1"
C8H4,
C8H4+,InChI=1S/C8H4/c1-3-5-7-8-6-4-2/h1-2H2/q+1
C9H2N+,InChI=1S/C9HN/c1-2-3-4-5-6-7-8-9-10/h1H/p+1
C9H3,
C9H3+,InChI=1S/C9H3/c1-3-5-7-9-8-6-4-2/h1H3/q+1
CH3C7N,InChI=1S/C8H3N/c1-2-3-4-5-6-7-8-9/h1H3
C10H3+,
C4H9,"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3"
C4H9+,"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3/q+1"
C5H8,"InChI=1S/C5H8/c1-3-5-4-2/h3-5H,1H2,2H3"
C6H7,
C6H7+,"InChI=1S/C6H7/c1-3-5-6-4-2/h1H3,2H4/q+1"
C7H6,
C8H4N+,InChI=1S/C8H3N/c1-2-3-4-5-6-7-8-9/h1H3/p+1
C8H5+,"InChI=1S/C8H5/c1-3-5-7-8-6-4-2/h1H2,2H3/q+1"
C9H3N+,InChI=1S/C9H3N/c1-2-3-4-5-6-7-8-9-10/h1H3/q+1
C9H4,
C9H4+,"InChI=1S/C9H4/c1-3-5-7-9-8-6-4-2/h1H,2H3/q+1"
C4H10,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
C5H9,"InChI=1S/C5H9/c1-3-5-4-2/h3,5H,1,4H2,2H3"
C5H9+,"InChI=1S/C5H9/c1-3-5-4-2/h3,5H,1,4H2,2H3/q+1"
C6H7N+,
C6H8,"InChI=1S/C6H8/c1-3-5-6-4-2/h1,5-6H,4H2,2H3/b6-5+"
C7H7,
C7H7+,
C8H6,
C8H6+,
C9H5+,"InChI=1S/C9H5/c1-3-5-7-9-8-6-4-2/h1H2,2H3/q+1"
C5H10,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3"
C6H7NH+,
C6H9,
C7H8,
C8H7+,
C5H11,"InChI=1S/C5H11/c1-3-5-4-2/h1,3-5H2,2H3"
C6H10,
C7H9,
C9H7+,
C5H12,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
C6H11,
C7H10,
C9H8+,
C6H12,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
C6H13,"InChI=1S/C6H13/c1-3-5-6-4-2/h1,3-6H2,2H3"
C6H14,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
C14H10,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H
C14H10+,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H/q+1
C15H9+,
D,InChI=1S/H/i1+1
D2,InChI=1S/H2/h1H/i1+1D
e-,
F,InChI=1S/F
F+,InChI=1S/F/q+1
Fe,InChI=1S/Fe
Fe+,InChI=1S/Fe/q+1
FeH,
FO,InChI=1S/FO/c1-2
FNO,InChI=1S/FNO/c1-2-3
FO2,InChI=1S/F2O/c1-3-2
H,InChI=1S/H
H-,InChI=1S/H/q-1
H+,InChI=1S/p+1
He,InChI=1S/He
He+,InChI=1S/He/q+1
H2,InChI=1S/H2/h1H
H2+,InChI=1S/H2/h1H/q+1
HCl,InChI=1S/ClH/h1H
HCl+,InChI=1S/ClH/h1H/q+1
HD+,InChI=1S/H2/h1H/q+1/i1+1
HeH+,InChI=1S/HHe/h1H/q+1
HF,InChI=1S/FH/h1H
HF+,InChI=1S/FH/h1H/q+1
HS,InChI=1S/HS/h1H
HS+,InChI=1S/HS/h1H/q+1
H2Cl+,InChI=1S/ClH2/h1H2/q+1
H2D+,InChI=1S/H3/c1-2-3-1/q+1/i1+1
H2F+,InChI=1S/FH2/h1H2/q+1
H2O,InChI=1S/H2O/h1H2
H2O+,InChI=1S/H2O/h1H2/q+1
H2S,InChI=1S/H2S/h1H2
H2S+,InChI=1S/H2S/h1H2/q+1
H3+,InChI=1S/H3/c1-2-3-1/q+1
HCN,InChI=1S/CHN/c1-2/h1H
HCN+,InChI=1S/CHN/c1-2/h1H/q+1
HCO,InChI=1S/CHO/c1-2/h1H
HCO+,InChI=1S/CHO/c1-2/h1H/q+1
HCP,InChI=1S/CHP/c1-2/h1H
HCP+,InChI=1S/CHP/c1-2/h1H/q+1
HCS,InChI=1S/CHS/c1-2/h1H
HCS+,InChI=1S/CHS/c1-2/h1H/q+1
HCSi,InChI=1S/CHSi/c1-2/h1H
HNC,InChI=1S/CHN/c1-2/h2H
HNC+,InChI=1S/CHN/c1-2/h2H/q+1
HNO,InChI=1S/HNO/c1-2/h1H
HNO+,InChI=1S/HNO/c1-2/h1H/q+1
HNS+,InChI=1S/HNS/c1-2/h1H/q+1
HNSi,InChI=1S/HNSi/c1-2/h1H
HNSi+,InChI=1S/HNSi/c1-2/h1H/q+1
HOC+,InChI=1S/CHO/c1-2/h1H/q+1
HPN+,InChI=1S/HNP/c1-2/h2H/q+1
HPO,InChI=1S/HOP/c1-2/h2H
HPO+,InChI=1S/HOP/c1-2/h2H/q+1
HS2,InChI=1S/HS2/c1-2/h1H
HSiO+,InChI=1S/HOSi/c1-2/h2H/q+1
HSiS+,InChI=1S/HSSi/c1-2/h2H/q+1
HSO,
HSO+,InChI=1S/HOS/c1-2/h2H/q+1
H2CCl+,InChI=1S/CH2Cl/c1-2/h1H2/q+1
H2CN,InChI=1S/CH2N/c1-2/h1H2
H2CO,InChI=1S/CH2O/c1-2/h1H2
H2CO+,InChI=1S/CH2O/c1-2/h1H2/q+1
H2CS,InChI=1S/CH2S/c1-2/h1H2
H2CS+,InChI=1S/CH2S/c1-2/h1H2/q+1
H2NC+,InChI=1S/CH2N/c1-2/h2H2/q+1
H2NO+,InChI=1S/H2NO/c1-2/h1H2/q+1
H2O2,InChI=1S/H2O2/c1-2/h1-2H
H2PO+,InChI=1S/H2OP/c1-2/h2H2/q+1
H2S2,InChI=1S/H2S2/c1-2/h1-2H
H2S2+,InChI=1S/H2S2/c1-2/h1-2H/q+1
H2SiO,InChI=1S/H2OSi/c1-2/h2H2
H2SiO+,InChI=1S/H2OSi/c1-2/h2H2/q+1
H2SO,
H3O+,InChI=1S/H2O/h1H2/p+1
H3S+,InChI=1S/H2S/h1H2/p+1
HC2N,InChI=1S/C2HN/c1-2-3/h1H
HC2O,InChI=1S/C2HO/c1-2-3/h1H
HC2S+,InChI=1S/C2HS/c1-2-3/h1H/q+1
HC3,InChI=1S/C3H/c1-3-2/h1H
HCCS,
HCNH+,InChI=1S/CH2N/c1-2/h1-2H/q+1
HCNO,InChI=1S/CHNO/c1-2-3/h1H
HCNO+,InChI=1S/CHNO/c1-2-3/h1H/q+1
HCNS,InChI=1S/CHNS/c1-2-3/h1H
HCNS+,
HCO2+,"InChI=1S/CHO2/c2-1-3/h(H,2,3)/q+1"
HDCO,InChI=1S/CH2O/c1-2/h1H2/i1D
HN2O+,InChI=1S/N2O/c1-2-3/p+1
HNCO+,InChI=1S/CHNO/c2-1-3/h2H/q+1
HNCS,InChI=1S/CHNS/c2-1-3/h2H
HNCS+,InChI=1S/CHNS/c2-1-3/h2H/q+1
HOCN,InChI=1S/CHNO/c2-1-3/h3H
HOCN+,InChI=1S/CHNO/c2-1-3/h3H/q+1
HOCS+,"InChI=1S/CHOS/c2-1-3/h(H,2,3)/q+1"
HONC,InChI=1S/CHNO/c1-2-3/h3H
HONC+,InChI=1S/CHNO/c1-2-3/h3H/q+1
HSCN,InChI=1S/CHNS/c2-1-3/h3H
HSCN+,
HSiO2+,InChI=1S/HO2Si/c1-3-2/h3H/q+1
HSO2+,InChI=1S/O2S/c1-3-2/p+1
H2C2S+,
H2C3,InChI=1S/C3H2/c1-3-2/h1H2
H2C3+,InChI=1S/C3H2/c1-3-2/h1H2/q+1
H2CCS,InChI=1S/C2H2S/c1-2-3/h1H2
H2CNO+,
H2CNS+,
H2CSH+,InChI=1S/CH3S/c1-2/h1H3/q+1
H2NCO+,
H2NCS+,
H2OCN+,
H2SCN+,
H3CO+,"InChI=1S/CH3O/c1-2/h2H,1H2/q+1"
H3S2+,InChI=1S/H2S2/c1-2/h1-2H/p+1
H3SiO+,InChI=1S/H3OSi/c1-2/h2H3/q+1
HC2N2,
HC2NC,InChI=1S/C3HN/c1-3-4-2/h1H
HC3N,InChI=1S/C3HN/c1-2-3-4/h1H
HC3O,1S/C3HO/c1-2-3-4/h1H
HC3O+,InChI=1S/C3HO/c1-2-3-4/h1H/q+1
HC3S,
HC3S+,InChI=1S/C3HS/c1-2-3-4/h1H/q+1
HCNC2,InChI=1S/C3HN/c1-3-4-2/h2H
HCNOH+,
HCNSH+,InChI=1S/CHNS/c1-2-3/h1H/p+1
HCOCO,
HNC3,InChI=1S/C3HN/c1-2-3-4/h4H
HNCHS,
HNCOH+,
HNCSH,
HNCSH+,
HSCHN,
H2C3N,
H2C3O,
H2C3O+,InChI=1S/C3H2O/c1-2-3-4/h1H2/q+1
H2C3S,
H2C3S+,
H3C3+,"InChI=1S/C3H3/c1-3-2/h1H,2H2/q+1"
HC2NCH+,InChI=1S/C3H2N/c1-3-4-2/h1-2H/q+1
HC4N,InChI=1S/C4HN/c1-2-3-4-5/h1H
HC4N+,InChI=1S/C4HN/c1-2-3-4-5/h1H/q+1
HC4O+,InChI=1S/C4HO/c1-2-3-4-5/h1H/q+1
HC4S+,InChI=1S/C4HS/c1-2-3-4-5/h1H/q+1
HCCCHS,
HCOCHO,
HNCHSH,
H2C4N+,InChI=1S/C4H2N/c1-2-3-4-5/h1H2/q+1
H3C3O+,
HC5N,InChI=1S/C5HN/c1-2-3-4-5-6/h1H
HC5O+,
HCCCHSH+,
H3C4N+,InChI=1S/C4H3N/c1-2-3-4-5/h1H3/q+1
HC6N,InChI=1S/C6HN/c1-2-3-4-5-6-7/h1H
HC6N+,InChI=1S/C6HN/c1-2-3-4-5-6-7/h1H/q+1
HCOOCH3,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3"
H2C6N+,
H5C2O2+,"InChI=1S/C6H3/c1-3-5-6-4-2/h1H,2H2/q+1"
HC7N,InChI=1S/C7HN/c1-2-3-4-5-6-7-8/h1H
HC7O+,
HC8N,InChI=1S/C8HN/c1-2-3-4-5-6-7-8-9/h1H
HC8N+,InChI=1S/C8HN/c1-2-3-4-5-6-7-8-9/h1H/q+1
H2C8N+,
HC9N,InChI=1S/C9HN/c1-2-3-4-5-6-7-8-9-10/h1H
HC9O+,
HC10N+,InChI=1S/C10HN/c1-2-3-4-5-6-7-8-9-10-11/h1H/q+1
H2C10N+,
Mg,InChI=1S/Mg
Mg+,InChI=1S/Mg/q+1
MgH,InChI=1S/Mg.H
MgH2,InChI=1S/Mg.2H
N,InChI=1S/N
N+,InChI=1S/N/q+1
Na,InChI=1S/Na
Na+,InChI=1S/Na/q+1
Ne,InChI=1S/Ne
N2,InChI=1S/N2/c1-2
N2+,InChI=1S/N2/c1-2/q+1
NaH,InChI=1S/Na.H
ND,Inchi=1S/HN/h1H/i1D
NH,InChI=1S/HN/h1H
NH+,InChI=1S/HN/h1H/q+1
NO,InChI=1S/NO/c1-2
NO+,InChI=1S/NO/c1-2/q+1
NS,InChI=1S/NS/c1-2
NS+,InChI=1S/NS/c1-2/q+1
N2H,InChI=1S/N2/c1-2
N2H+,InChI=1S/HN2/c1-2/h1H/q+1
N2O,InChI=1S/N2O/c1-2-3
NaH2+,InChI=
NaOH,InChI=
NCO+,InChI=1S/NO2/c2-1-3/q+1
NCS+,InChI=1S/CNS/c2-1-3/q+1
NH2,InChI=1S/H2N/h1H2
NH2-,
NH2+,InChI=1S/H2N/h1H2/q+1
NHD,InChI=1S/H2N/h1H2/i1D
NO2,InChI=1S/NO2/c2-1-3
NO2+,InChI=1S/NO2/c2-1-3/q+1
N2H2,InChI=1S/H2N2/c1-2/h1-2H
NaH2O+,InChI=
NCSH,InChI=1S/CHNS/c2-1-3/h3H
NCSH+,InChI=1S/CHNS/c2-1-3/h3H/q+1
NH3,InChI=1S/H3N/h1H3
NH3+,InChI=1S/H3N/h1H3/q+1
NO3,InChI=1S/NO3/c2-1(3)4
N2H3,
NH2CN,InChI=1S/CH2N2/c2-1-3/h2H2
NH2CS,
NH4+,InChI=1S/H3N/h1H3/p+1
N2H4,InChI=1S/H4N2/c1-2/h1-2H2
NC4N,InChI=1S/C4N2/c5-3-1-2-4-6
NH2CDO,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/i1D"
NH2CHO,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"
NH2CHS+,
NH2CNH+,InChI=1S/CH2N2/c2-1-3/h2H2/p+1
NH3CS,"InChI=1S/CH3NS/c2-1-3/h1H,(H2,2,3)"
NHDCHO,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/i/hD"
NH2CH2O+,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/p+1"
NH2CH2S,
NH2CHSH,
NH2CHSH+,
NH3CHS+,
NC6N,InChI=1S/C6N2/c7-5-3-1-2-4-6-8
NH2CH2SH,"InChI=1S/CH5NS/c2-1-3/h3H,1-2H2"
NH2CH2SH+,
NH3CH2SH+,
NC8N,InChI=1S/C8N2/c9-7-5-3-1-2-4-6-8-10
O,InChI=1S/O
O-,InChI=1S/O/q-1
O+,InChI=1S/O/q+1
O2,InChI=1S/O2/c1-2
O2+,InChI=1S/O2/c1-2/q+1
OH,InChI=1S/HO/h1H
OH-,InChI=1S/H2O/h1H2/p-1
OH+,InChI=1S/HO/h1H/q+1
O2H,InChI=1S/HO2/c1-2/h1H
O2H+,InChI=1S/HO2/c1-2/h1H/q+1
O3,InChI=1S/O3/c1-3-2
OClO,InChI=1S/ClO2/c2-1-3
OCN,InChI=1S/CNO/c2-1-3
OCS,InChI=1S/COS/c2-1-3
OCS+,InChI=1S/COS/c2-1-3/q+1
P,InChI=1S/P
P+,InChI=1S/P/q+1
Photon,
PH,InChI=1S/HP/h1H
PH+,InChI=1S/HP/h1H/q+1
PN,InChI=1S/NP/c1-2
PN+,InChI=1S/NP/c1-2/q+1
PO,InChI=1S/OP/c1-2
PO+,InChI=1S/OP/c1-2/q+1
PH2,InChI=1S/H2P/h1H2
PH2+,InChI=1S/H2P/h1H2/q+1
PC2H+,InChI=1S/C2HP/c1-2-3/h1H/q+1
PCH2+,InChI=1S/CH2P/c1-2/h1H2/q+1
PH3+,InChI=1S/H3P/h1H3/q+1
PNH2+,InChI=1S/H2NP/c1-2/h1H2/q+1
PC2H2+,InChI=1S/C2H2P/c1-2-3/h1H2/q+1
PC3H+,InChI=1S/C3HP/c1-2-3-4/h1H/q+1
PCH3+,InChI=1S/CH3P/c1-2/h1H3/q+1
PNH3+,InChI=1S/H3NP/c1-2/h1H3/q+1
PC2H3+,"InChI=1S/C2H3P/c1-2-3/h2H,1H2/q+1"
PC4H+,InChI=1S/C4HP/c1-2-3-4-5/h1H/q+1
PCH4+,"InChI=1S/CH4P/c1-2/h2H,1H3/q+1"
PC2H4+,"InChI=1S/C2H4P/c1-2-3/h2H,1H3/q+1"
PC4H2+,InChI=1S/C4H2P/c1-2-3-4-5/h1H2/q+1
S,InChI=1S/S
S-,InChI=1S/S/q-1
S+,InChI=1S/S/q+1
Si,InChI=1S/Si
Si+,InChI=1S/Si/q+1
S2,InChI=1S/S2/c1-2
S2+,InChI=1S/S2/c1-2/q+1
SCl,InChI=1S/ClS/c1-2
SiC,InChI=1S/CSi/c1-2
SiC+,InChI=1S/CSi/c1-2/q+1
SiF+,InChI=1S/FSi/c1-2/q+1
SiH,InChI=1S/HSi/h1H
SiH+,InChI=1S/HSi/h1H/q+1
SiN,InChI=1S/NSi/c1-2
SiN+,InChI=1S/NSi/c1-2/q+1
SiO,InChI=1S/OSi/c1-2
SiO+,InChI=1S/OSi/c1-2/q+1
SiS,InChI=1S/SSi/c1-2
SiS+,InChI=1S/SSi/c1-2/q+1
SO,InChI=1S/OS/c1-2
SO+,InChI=1S/OS/c1-2/q+1
S2H+,InChI=1S/HS2/c1-2/h1H/q+1
SiC2,InChI=1S/C2Si/c1-2-3-1
SiC2+,InChI=1S/C2Si/c1-2-3/q+1
SiH2,InChI=1S/H2Si/h1H2
SiH2+,InChI=1S/H2Si/h1H2/q+1
SiNC,InChI=1S/CNSi/c1-2-3
SiNC+,InChI=1S/CNSi/c1-2-3/q+1
SiO2,InChI=1S/O2Si/c1-3-2
SO2,InChI=1S/O2S/c1-3-2
SO2+,InChI=1S/O2S/c1-3-2/q+1
SiC2H,InChI=1S/C2HSi/c1-2-3/h1H
SiC2H+,InChI=1S/C2HSi/c1-2-3/h1H/q+1
SiC3,InChI=1S/C3Si/c1-2-3-4
SiC3+,InChI=1S/C3Si/c1-2-3-4/q+1
SiCH2,InChI=1S/CH2Si/c1-2/h1H2
SiH3,InChI=1S/H3Si/h1H3
SiH3+,InChI=1S/H3Si/h1H3/q+1
SiNCH+,InChI=1S/CHNSi/c1-2-3/h1H/q+1
SiNH2+,InChI=1S/H2NSi/c1-2/h1-2H/q+1
SO3,InChI=1S/O3S/c1-4(2)3
SCH3,"InChI=1S/CH4S/c1-2/h2H,1H3/p-1"
SiC2H2,InChI=1S/C2H2Si/c1-2-3-1/h1-2H
SiC2H2+,InChI=1S/C2H2Si/c1-2-3/h1H2/q+1
SiC3H,InChI=1S/C3HSi/c1-2-3-4/h1H
SiC3H+,InChI=1S/C3HSi/c1-2-3-4/h1H/q+1
SiC4,InChI=1S/C4Si/c1-2-3-4-5
SiC4+,InChI=1S/C4Si/c1-2-3-4-5/q+1
SiCH3,InChI=1S/CH3Si/c1-2/h1H3
SiCH3+,InChI=1S/CH3Si/c1-2/h1H3/q+1
SiH4,InChI=1S/H4Si/h1H4
SiH4+,InChI=1S/H4Si/h1H4/q+1
SiC2H3,"InChI=1S/C2H3Si/c1-2-3/h1H,3H2"
SiC2H3+,InChI=1S/C2H3Si/c1-2-3/h1H3/q+1
SiC3H2+,InChI=1S/C3H2Si/c1-2-3-4/h1H2/q+1
SiC4H,InChI=1S/C4HSi/c1-2-3-4-5/h1H
SiC4H+,InChI=1S/C4HSi/c1-2-3-4-5/h1H/q+1
SiCH4+,InChI=1S/C4H2P/c1-2-3-4-5/h1H2/q+1
SiH5+,InChI=1S/H5Si/h1H5/q+1
SiC3H3,InChI=1S/C3H3Si/c1-2-3-4/h1H3
SiC6H,InChI=1S/C6HSi/c1-2-3-4-5-6-7/h1H
SiC3H5,"InChI=1S/C3H5Si/c1-2-3-4/h2-3H,1H3/b3-2+"
